timestamp,rack_id,module_id,cell_id,voltage,current,temp,soc,soh
2025.7.1 0:00,R01,M01,C01,3.6334,3.4,29.615,88.099,95.604
2025.7.1 0:00,R01,M01,C02,3.6967,3.344,29.355,85.757,99.24
2025.7.1 0:00,R01,M01,C03,3.7145,3.614,25.854,89.087,97.349
2025.7.1 0:00,R01,M01,C04,3.6041,3.228,27.376,92.613,95.112
2025.7.1 0:00,R01,M01,C05,3.7033,3.261,30.073,74.394,96.621
2025.7.1 0:00,R01,M01,C06,3.6102,3.576,26.539,87.076,97.087
2025.7.1 0:00,R01,M01,C07,3.7277,3.247,31.205,68.25,98.331
2025.7.1 0:00,R01,M01,C08,3.6166,3.328,27.498,92.685,96.547
2025.7.1 0:00,R01,M01,C09,3.6015,3.683,30.674,93.896,96.892
2025.7.1 0:00,R01,M01,C10,3.6682,3.468,26.339,92.79,99.127
2025.7.1 0:00,R01,M01,C11,3.6368,3.606,30.515,86.456,95.659
2025.7.1 0:00,R01,M01,C12,3.7359,3.652,29.72,70.75,95.637
2025.7.1 0:00,R01,M01,C13,3.7179,3.744,25.287,86.029,97.322
2025.7.1 0:00,R01,M01,C14,3.7303,3.328,29.141,92.053,98.96
2025.7.1 0:00,R01,M01,C15,3.6015,3.732,29.145,87.177,95.635
2025.7.1 0:00,R01,M01,C16,3.6303,3.466,29.252,92.247,95.268
2025.7.1 0:00,R01,M01,C17,3.6571,3.488,28.631,85.989,96.231
2025.7.1 0:00,R01,M01,C18,3.6364,3.623,25.51,87.449,97.699
2025.7.1 0:00,R01,M01,C19,3.7383,3.71,29.946,70.232,98.653
2025.7.1 0:00,R01,M01,C20,3.6142,3.618,30.183,89.614,96.939
2025.7.1 0:00,R01,M01,C21,3.6782,3.654,25.927,86.072,98.475
2025.7.1 0:00,R01,M01,C22,3.6442,3.793,29.613,85.967,96.165
2025.7.1 0:00,R01,M01,C23,3.654,3.446,30.02,75.365,95.802
2025.7.1 0:00,R01,M01,C24,3.6133,3.483,31.311,93.534,98.983
2025.7.1 0:00,R01,M01,C25,3.6651,3.434,30.604,91.193,95.041
2025.7.1 0:00,R01,M01,C26,3.6281,3.246,29.016,94.263,96.945
2025.7.1 0:00,R01,M01,C27,3.6523,3.631,29.997,74.767,98.461
2025.7.1 0:00,R01,M01,C28,3.7313,3.538,26.411,87.288,97.308
2025.7.1 0:00,R01,M01,C29,3.6916,3.48,25.724,86.487,99.232
2025.7.1 0:00,R01,M01,C30,3.6122,3.547,29.191,86.199,98.687
2025.7.1 0:00,R01,M01,C31,3.6113,3.537,31.497,76.922,97.405
2025.7.1 0:00,R01,M01,C32,3.7346,3.61,25.013,90.162,97.193
2025.7.1 0:00,R01,M01,C33,3.695,3.777,30.353,87.437,97.302
2025.7.1 0:00,R01,M01,C34,3.7434,3.468,29.514,85.449,99.382
2025.7.1 0:00,R01,M01,C35,3.6311,3.394,28.782,87.754,95.675
2025.7.1 0:00,R01,M01,C36,3.7269,3.479,25.487,92.338,95.807
2025.7.1 0:00,R01,M01,C37,3.6317,3.768,29.709,87.398,96.05
2025.7.1 0:00,R01,M01,C38,3.6831,3.228,25.58,68.869,96.092
2025.7.1 0:00,R01,M01,C39,3.6137,3.559,31.172,87.897,97.997
2025.7.1 0:00,R01,M01,C40,3.6996,3.741,26.598,91.013,99.137
2025.7.1 0:00,R01,M01,C41,3.7155,3.304,30.561,72.219,98.095
2025.7.1 0:00,R01,M01,C42,3.7498,3.224,29.06,94.068,95.648
2025.7.1 0:00,R01,M01,C43,3.7404,3.572,27.796,88.765,99.475
2025.7.1 0:00,R01,M01,C44,3.7439,3.578,30.54,68.298,95.068
2025.7.1 0:00,R01,M01,C45,3.7431,3.726,28.939,92.629,98.092
2025.7.1 0:00,R01,M01,C46,3.744,3.802,29.908,88.929,98.573
2025.7.1 0:00,R01,M01,C47,3.7438,3.438,26.835,91.329,95.878
2025.7.1 0:00,R01,M01,C48,3.7393,3.278,29.865,94.038,95.175
2025.7.1 0:00,R01,M02,C01,3.6144,3.416,27.377,92.978,97.326
2025.7.1 0:00,R01,M02,C02,3.6672,3.479,26.109,85.722,99.205
2025.7.1 0:00,R01,M02,C03,3.6994,3.289,29.843,70.186,97.962
2025.7.1 0:00,R01,M02,C04,3.6979,3.438,30.183,91.94,96.817
2025.7.1 0:00,R01,M02,C05,3.7189,3.313,29.372,86.885,95.395
2025.7.1 0:00,R01,M02,C06,3.7035,3.623,30.607,88.328,96.756
2025.7.1 0:00,R01,M02,C07,3.7416,3.722,26.584,86.817,98.406
2025.7.1 0:00,R01,M02,C08,3.7201,3.805,26.567,73.054,96.047
2025.7.1 0:00,R01,M02,C09,3.6952,3.801,29.053,91.403,95.306
2025.7.1 0:00,R01,M02,C10,3.6633,3.261,28.883,86.471,95.213
