timestamp,rack_id,system_bus_voltage,system_bus_current,system_online_soc,system_online_soh
2025.7.1 0:00,R01,964.593,78.8,87,99.429
2025.7.1 0:00,R01,965.045,78.9,89,99.546
2025.7.1 0:00,R01,965.329,78.6,87,99.577
2025.7.1 0:00,R01,965.984,80.4,88,99.485
2025.7.1 0:00,R01,964.823,78.8,88,99.513
2025.7.1 0:00,R01,965.314,79.6,88,99.504
2025.7.1 0:00,R01,966.091,78.7,89,99.497
2025.7.1 0:00,R01,967.055,79.2,89,99.474
2025.7.1 0:00,R01,965.827,78.8,88,99.49
2025.7.1 0:00,R01,967.4,79.6,89,99.587
2025.7.1 0:00,R01,965.425,80.2,88,99.507
2025.7.1 0:00,R01,966.318,79.5,88,99.577
2025.7.1 0:00,R01,965.282,78.9,88,99.442
2025.7.1 0:00,R01,966.018,79.1,89,99.579
2025.7.1 0:00,R01,965.34,80.1,88,99.452
2025.7.1 0:00,R01,965.996,79.9,88,99.566
2025.7.1 0:00,R01,965.848,79.2,88,99.507
2025.7.1 0:00,R01,967.434,78.8,88,99.43
2025.7.1 0:00,R01,967.506,78.8,89,99.557
2025.7.1 0:00,R01,964.04,78.7,88,99.411
2025.7.1 0:00,R01,967.674,79.2,89,99.406
2025.7.1 0:00,R01,965.091,79.4,89,99.409
2025.7.1 0:00,R01,965.188,78.8,88,99.584
2025.7.1 0:00,R01,967.116,79.5,89,99.516
2025.7.1 0:00,R01,967.613,79.4,88,99.436
2025.7.1 0:00,R01,964.31,79.2,88,99.593
2025.7.1 0:00,R01,966.37,79.4,89,99.525
2025.7.1 0:00,R01,967.15,79.9,88,99.441
2025.7.1 0:00,R01,964.622,80.5,88,99.522
2025.7.1 0:00,R01,967.847,79.3,90,99.485
2025.7.1 0:00,R01,966.441,79.9,89,99.454
2025.7.1 0:00,R01,965.154,80.3,88,99.437
2025.7.1 0:00,R01,964.196,80.5,90,99.508
2025.7.1 0:00,R01,965.167,78.6,90,99.506
2025.7.1 0:00,R01,966.383,80.2,88,99.509
