timestamp,rack_id,module_id,max_cell_temp,min_cell_temp,avg_temp,max_cell_voltage,min_cell_voltage,avg_voltage,string_max_current,string_min_current,avg_current,soc,soh,cell_balancing_status
2025.7.1 0:00,R01,M01,31.85,28.121,29.986,3.6739,3.6448,87.82,41.676,34.443,38.059,87.952,99.367,0
2025.7.1 0:00,R01,M02,30.653,27.657,29.155,3.6721,3.6471,87.83,41.137,35.842,38.489,89.28,98.567,0
2025.7.1 0:00,R01,M03,31.231,28.54,29.886,3.6738,3.65,87.89,43.141,35.576,39.358,89.565,98.854,0
2025.7.1 0:00,R01,M04,31.115,28.738,29.926,3.6759,3.6484,87.89,44.125,34.378,39.252,90.462,98.987,0
2025.7.1 0:00,R01,M05,31.884,28.892,30.388,3.6823,3.6502,87.99,43.46,35.905,39.683,90.779,99.278,0
2025.7.1 0:00,R01,M06,32.994,28.499,30.746,3.6844,3.6511,88.03,45.168,36.38,40.774,89.362,99.391,0
2025.7.1 0:00,R01,M07,33.142,28.483,30.812,3.6863,3.6479,88.01,43.738,37.401,40.57,89.611,99.382,0
2025.7.1 0:00,R01,M08,43.202,32.018,38.331,3.7246,3.2883,88.08,49.336,23.93,36.412,57.37,54.356,0
2025.7.1 0:00,R01,M09,32.24,28.975,30.608,3.6796,3.6542,88.01,44.686,37.115,40.901,90.462,99.49,0
2025.7.1 0:00,R01,M10,33.485,29.089,31.287,3.6876,3.6526,88.08,47.889,39.963,43.926,90.739,98.685,0
2025.7.1 0:00,R01,M11,32.241,29.895,31.068,3.6813,3.658,88.07,45.65,37.571,41.611,92.449,98.871,0
2025.7.1 0:00,R01,M01,30.263,28.197,29.23,3.6796,3.6492,87.95,43.485,34.305,38.895,88.875,99.187,0
2025.7.1 0:00,R01,M02,32.124,27.605,29.864,3.6748,3.6474,87.87,41.317,33.222,37.27,88.346,99.11,0
2025.7.1 0:00,R01,M03,31.468,28.539,30.004,3.6776,3.6467,87.89,41.599,36.143,38.871,89.829,98.81,0
2025.7.1 0:00,R01,M04,32.161,28.329,30.245,3.6775,3.6506,87.94,44.085,36.585,40.335,89.668,99.411,0
2025.7.1 0:00,R01,M05,31.312,28.54,29.926,3.6784,3.6458,87.89,43.707,34.775,39.241,90.661,99.095,0
2025.7.1 0:00,R01,M06,32.213,28.937,30.575,3.6839,3.647,87.97,45.381,35.633,40.507,90.8,99.151,0
2025.7.1 0:00,R01,M07,32.858,28.93,30.894,3.6847,3.6508,88.03,43.931,36.914,40.422,90.559,99.126,0
2025.7.1 0:00,R01,M08,43.356,31.486,37.924,3.7137,3.284,87.61,46.819,23.146,33.979,57.973,55.764,0
2025.7.1 0:00,R01,M09,32.232,29.055,30.643,3.6821,3.6587,88.09,46.748,38.872,42.81,90.463,99.212,0
2025.7.1 0:00,R01,M10,32.733,29.767,31.25,3.6845,3.652,88.04,45.791,37.712,41.752,91.862,98.755,0
2025.7.1 0:00,R01,M11,33.794,30.13,31.962,3.6812,3.6515,87.99,48.102,39.929,44.016,90.771,98.532,0
2025.7.1 0:00,R01,M01,31.257,27.328,29.293,3.6808,3.6418,87.87,42.902,32.837,37.87,88.245,98.942,0
2025.7.1 0:00,R01,M02,30.463,27.818,29.141,3.6817,3.649,87.97,41.524,35.167,38.346,89.837,98.576,0
2025.7.1 0:00,R01,M03,31.397,27.737,29.567,3.6736,3.646,87.84,43.733,36.413,40.073,88.801,98.976,0
2025.7.1 0:00,R01,M04,32.03,28.648,30.339,3.6788,3.6477,87.92,42.486,35.671,39.078,90.25,99.392,0
2025.7.1 0:00,R01,M05,31.143,28.757,29.95,3.6829,3.653,88.03,44.853,35.118,39.986,89.495,99.305,0
2025.7.1 0:00,R01,M06,32.63,28.878,30.754,3.6796,3.6467,87.92,45.867,36.558,41.212,89.974,99.065,0
2025.7.1 0:00,R01,M07,32.815,29.095,30.955,3.6844,3.6542,88.06,44.229,36.228,40.228,90.739,99.311,0
2025.7.1 0:00,R01,M08,44.569,31.174,36.939,3.7182,3.2697,87.95,49.424,22.047,34.721,58.562,55.774,0
2025.7.1 0:00,R01,M09,31.856,29.077,30.467,3.6814,3.6585,88.08,46.133,38.25,42.192,90.28,99.424,0
2025.7.1 0:00,R01,M10,32.853,29.013,30.933,3.6831,3.6548,88.05,45.73,38.521,42.126,90.778,99.464,0
2025.7.1 0:00,R01,M11,33.315,30.033,31.674,3.6898,3.6605,88.2,46.771,38.508,42.639,92.038,99.059,0
2025.7.1 0:00,R01,M01,31.734,27.951,29.843,3.6739,3.6461,87.84,40.888,33.584,37.236,87.739,98.612,0
2025.7.1 0:00,R01,M02,30.785,27.55,29.168,3.6819,3.649,87.97,41.784,35.306,38.545,88.533,98.856,0
2025.7.1 0:00,R01,M03,31.857,28.028,29.942,3.6801,3.6458,87.91,41.756,36.28,39.018,89.865,99.495,0
2025.7.1 0:00,R01,M04,32.458,28.225,30.341,3.6763,3.6489,87.9,42.845,35.934,39.389,90.647,99.278,0
2025.7.1 0:00,R01,M05,32.106,28.12,30.113,3.6782,3.6534,87.98,45.383,36.351,40.867,89.358,98.698,0
2025.7.1 0:00,R01,M06,32.66,29.014,30.837,3.678,3.6538,87.98,44.802,35.126,39.964,90.78,98.517,0
2025.7.1 0:00,R01,M07,31.515,28.443,29.979,3.683,3.6566,88.08,45.627,35.861,40.744,90.58,99.169,0
2025.7.1 0:00,R01,M08,45.158,31.743,36.862,3.7254,3.2953,87.56,46.689,21.963,36.932,57.722,53.782,0
2025.7.1 0:00,R01,M09,31.975,29.004,30.489,3.6807,3.6492,87.96,46.326,39.413,42.87,90.492,99.444,0
2025.7.1 0:00,R01,M10,33.529,29.884,31.707,3.686,3.6542,88.08,46.157,39.859,43.008,91.139,98.706,0
2025.7.1 0:00,R01,M11,33.187,29.522,31.354,3.6823,3.6545,88.04,45.654,39.496,42.575,90.932,98.969,0
2025.7.1 0:00,R01,M01,30.849,27.927,29.388,3.6711,3.6434,87.77,42.188,33.42,37.804,88.589,98.519,0
2025.7.1 0:00,R01,M02,30.625,27.507,29.066,3.6744,3.6467,87.85,43.404,33.361,38.383,88.559,98.726,0
2025.7.1 0:00,R01,M03,31.027,27.662,29.345,3.6826,3.6445,87.93,43.675,35.878,39.776,90.031,99.031,0
